movie_title,release_year,certificate,time_num,time_unit,genre1,genre2,genre3,stars,score,description,director_name,cast1,cast2,cast3,cast4,votes
Hometown Holiday,2018,TV-PG,84,min,Comedy,Drama,Romance,5.1,NA,"Krista is starting this New Year with a new business and a resolution to be more selective with who she dates. When Krista meets Ryan Rourke, an entertainment lawyer from LA, the two really...                See full summary »",Justin G. Dyck,Sarah Troyer,Bradley Hamilton,Kevin McGarry,Samantha Gracie,1044
"Love Always, Santa",2016,TV-G,84,min,Drama,Romance,NA,6.6,NA,"A widow's daughter writes to Santa Claus, asking for her mother to find love again. When a struggling writer receives the letter, he finds new inspiration and the beginnings of a romance.",Brian Herzlinger,Marguerite Moreau,Mike Faiola,Brady Smith,Isadora Swann,1620
A Very Merry Toy Store,2017,TV-PG,90,min,Comedy,Drama,Family,5.5,NA,Two rival toy shop owners reluctantly join forces when an unscrupulous toy magnate opens a box store in their town.,Paula Hart,Melissa Joan Hart,Mario Lopez,Dan Amboyer,Kurt Cole,1002
Road to Christmas,2018,TV-G,84,min,Comedy,Drama,Romance,6.7,NA,"A TV producer is producing a Christmas Special for the 5th year but she is then told to co-produce it with the host's son. Initially, she's not too happy about it but - Christmas brings friends and families together.",Allan Harmon,Jessy Schram,Teryl Rothery,Matreya Scarrwener,Chad Michael Murray,1921
My Christmas Love,2016,TV-G,85,min,Comedy,Romance,NA,6.2,NA,"A hopeless romantic who can't ever seem to give a guy a real chance begins receiving each of the ""12 Days of Christmas"" as gifts anonymously at her door and begins to believe that the mystery suitor may finally live up to her expectations.",Jeff Fisher,Meredith Hagner,Bobby Campo,Megan Park,Aaron O'Connell,2662
Santa's Boots,2018,TV-PG,90,min,Comedy,Drama,Romance,6.2,NA,"Forced to take a vacation from her job in Seattle, Holly returns to her hometown where she reluctantly agrees to become Santa's new elf at her dad's local department store.",Shawn Tolleson,Megan Hilty,Noah Mills,Roark Critchlow,Patricia Isaac,611
The Christmas Setup,2020,TV-PG,85,min,Drama,Romance,NA,6.8,NA,"As they enjoy the local holidays together, Hugo and Patrick's attraction to each other is undeniable but as Hugo receives word of a big promotion requiring a move to London, he must decide what is most important to him.",Pat Mills,Ben Lewis,Blake Lee,Fran Drescher,Ellen Wong,2305
Christmas Under the Stars,2019,TV-G,82,min,Drama,Romance,NA,6.8,NA,A Christmas-tree lot helps two people rediscover their holiday spirit.,Allan Harmon,Jesse Metcalfe,Autumn Reeser,Clarke Peters,Anthony Bolognese,1881
Our Christmas Love Song,2019,Not Rated,82,min,Drama,Music,Romance,6.3,NA,"When a country music star is accused of plagiarizing her new Christmas song, she returns to her hometown for the holiday season to try and find proof of authorship.",Gary Yates,Alicia Witt,Brendan Hines,Andrea del Campo,Anna Anderson-Epp,948
Christmas a la Mode,2019,TV-PG,87,min,Drama,Romance,NA,6.4,NA,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,John Stimpson,Katie Leclerc,Ryan Cooper,Jennifer Ellis,Kathy Harum,961
Christmas in Evergreen: Letters to Santa,2018,TV-G,84,min,Drama,Fantasy,Romance,6.6,NA,Lisa Palmer's trip home to Evergreen for the holidays finds her fulfilling the wishes of a Christmas Past and finding a romance full of Christmas magic. Stars Jill Wagner and Mark Deklin.,Sean McNamara,Jill Wagner,Mark Deklin,Holly Robinson Peete,Barbara Niven,1763
The Christmas Listing,2020,TV-PG,84,min,Drama,Romance,NA,5.1,NA,Two realtors compete for the same listing and have to spend time together at an Inn during Christmas.,Elizabeth Snoderly,Lexi Giovagnoli,Travis Burns,Greg Evigan,Rachel O'Connell,526
A Very Charming Christmas Town,2020,TV-PG,88,min,Comedy,Drama,Romance,5.9,NA,A lifestyle blogger is assigned to write a news story on a small tourist town for the Christmas season.,Jake Helgren,Natalie Hall,Jon Prescott,Kelley Jakle,Jo Marie Payton,798
Christmas in Homestead,2016,TV-G,84,min,Romance,NA,NA,6.5,NA,Life is turned upside down for a small town mayor when a famous actress arrives to shoot her new Christmas movie.,Steven R. Monroe,Taylor Cole,Michael Rady,Brooklyn Rae Silzer,Jeff Branson,2416
Christmas Wonderland,2018,TV-G,120,min,Comedy,Drama,Romance,5.9,NA,"""Heidi (Osment), who initially left her small town of Pleasant Valley with the dream of one day becoming a successful painter, has put her own art on hold to excel as an art gallery curator...                See full summary »",Sean Olson,Emily Osment,Ryan Rottman,Kelly Hu,Jacob Buster,3152
Christmas Pen Pals,2018,TV-PG,90,min,Comedy,Drama,Romance,7,NA,"After being dumped by her boyfriend, a successful tech wiz dating-app creator returns to her hometown for the holiday season, and her dad gets her to sign up for the annual Christmas Cupid anonymous matchmaking event.",Siobhan Devine,Sarah Drew,Niall Matter,Michael Gross,Chiara Zanni,1266
Picture Perfect Royal Christmas,2020,NA,90,min,Family,Romance,NA,5.5,NA,Amanda is the assistant to a famous photographer. Her boss receives an invitation to photograph the Christmas festivities in the kingdom of Pantrea and Amanda goes posing as her. She will ...                See full summary »,Todor Chapkanov,Roxanne McKee,David Witts,Sophie Ward,Sophie Vavasseur,366
The Christmas Cure,2017,TV-G,87,min,Drama,Romance,NA,6.2,NA,"A doctor returns home for Christmas to find that her father has decided to retire from his own practice. After reuniting with her high school sweetheart, she wonders if she should stay and take over her father's practice.",John Bradshaw,Brooke Nevin,Steve Byers,Patrick Duffy,Kathleen Laskey,1500
Christmas on the Square,2020,TV-PG,98,min,Comedy,Family,Musical,5.2,51,"An embittered scrooge of a woman plans to sell her small town, regardless of the consequences to the people who live there. However, a kindhearted angel arrives and shows her what would happen before she mends her ways and redeems herself.",Debbie Allen,Dolly Parton,Jenifer Lewis,Josh Segarra,Jeanine Mason,2728
Christmas Movie Magic,2021,NA,87,min,Comedy,Drama,Romance,6.4,NA,"Follows Alli Blakeman, an entertainment writer who learns that movie magic isn't always just on-screen after she discovers the mysterious origins of a classic Christmas movie.",Robert Vaughn,Holly Deveaux,Drew Seeley,Jill Frappier,Jennifer Gibson,381
Christmas Unwrapped,2020,TV-G,87,min,Comedy,Drama,Romance,6.1,NA,A pragmatic reporter writing a feature story investigates a man who insists that all of the Christmas gifts his charity gives are magically supplied by Santa Claus.,Bosede Williams,Amber Stevens West,Marco Grazzini,Cherion Drakes,Anthony Sherwood,817
The Spruces and the Pines,2017,Unrated,86,min,Comedy,Drama,Family,6,NA,Julie (Jonna Walsh) and Rick (Nick Ballard) fall in love despite being on opposite sides of feuding Christmas tree farms.,John Stimpson,Jonna Walsh,Nick Ballard,Tom Kemp,Ken Cheeseman,882
Christmas Is Canceled,2021,R,95,min,Comedy,Romance,NA,4.7,NA,Emma's father and her high school frenemy start dating so she embarks on a mission to break up the happy couple.,Prarthana Mohan,Hayley Orrantia,Dermot Mulroney,Janel Parrish,Michael Naizu,935
Small Town Christmas,2018,TV-G,120,min,Comedy,Drama,Romance,6.7,NA,A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.,Maclain Nelson,Ashley Newbrough,Kristoffer Polaha,Preston Vanderslice,Bailey Skodje,1593
Christmas in Love,2018,TV-G,84,min,Drama,Romance,NA,6.4,NA,An aspiring crafter working in her small town's bakery shows the new big-city CEO that it's people and not machines which make the business a success.,Don McBrearty,Brooke D'Orsay,Daniel Lissing,Mary-Margaret Humes,David Keeley,1726
A Taste of Christmas,2020,TV-PG,91,min,Comedy,Romance,NA,5.6,NA,"When Natalie learns her cousin Francesca must cancel the Christmas Eve opening of her new Italian restaurant, Natalie's heart goes out to all of the guests who were planning on attending.",Damián Romay,Anni Krueger,Gilles Marini,Nia Vardalos,Emma Myers,502
A Christmas Prince: The Royal Baby,2019,TV-PG,84,min,Family,Romance,NA,5.4,NA,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",John Schultz,Rose McIver,Ben Lamb,Alice Krige,Honor Kneafsey,6908
A December Bride,2016,TV-G,84,min,Comedy,Romance,NA,6.7,NA,"A holiday wedding brings no joy to the bride's cousin, who was literally left by the groom right at the altar. But she might find her true love there when she gains a fake fiancé in the process.",David Winning,Jessica Lowndes,Daniel Lissing,Jay Hindle,Pauline Egan,3239
Christmas Tree Lane,2020,TV-G,84,min,Comedy,Drama,Music,6.5,NA,Meg wants to save her neighborhood from getting demolished. She then discovers that Nate has other plans. Can she turn Nate's heart toward Christmas?,Steven R. Monroe,Alicia Witt,Andrew W. Walker,Drake Hogestyn,Briana Price,1112
Christmas in the Highlands,2019,NA,84,min,Comedy,Drama,Romance,4.8,NA,A New York sales manager is sent to the remote Scottish Highlands at Christmas to acquire a limited edition perfume from a dashing Earl preparing for his annual ball and falls in love instead.,Ryan Dewar,Dan Jeannotte,Brooke Burfitt,Nicholas Farrell,Geraldine Somerville,664
The Christmas Chalet,2019,NA,90,min,Drama,Family,Romance,6.6,NA,"A Christmas-loving divorcee books a chalet with her mother and daughter for the holidays, where she meets a writer who despises Christmas. Together they learn the magic of Christmas and family.",Jennifer Gibson,Erica Durance,Robin Dunne,Elva Mai Hoover,Micah Kalisch,788
A Christmas Prince: The Royal Wedding,2018,TV-PG,92,min,Drama,Romance,NA,5.3,NA,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",John Schultz,Rose McIver,Ben Lamb,Alice Krige,Honor Kneafsey,10859
Christmas Cookies,2016,TV-G,84,min,Drama,Romance,NA,6.4,NA,"A corporate agent is sent to a small town to buy a cookie company and shut down its factory. When she starts falling in love with the factory's owner, the town's Christmas spirit over takes her.",James Head,Jill Wagner,Wes Brown,P. Lynn Johnson,Chris Gauthier,2366
A Christmas in Tennessee,2018,TV-PG,87,min,Comedy,Family,Romance,6.7,NA,A baker unites the people of her small mountain town to stop a real estate developer.,Gary Yates,Rachel Boston,Andrew W. Walker,Patricia Richardson,Kate Moyer,1270
Christmas Catch,2018,TV-PG,87,min,Comedy,Crime,Romance,5.4,NA,A small-town policewoman falls for a suspected diamond thief at Christmas time.,Justin G. Dyck,Emily Alatalo,Andrew Bushell,Franco Lo Presti,Genelle Williams,1473
Christmas at the Palace,2018,TV-G,85,min,Romance,NA,NA,6.4,NA,A king who is struggling to live up to his father's name hires an ice skating choreographer for a special Christmas Eve performance to celebrate the founding of his nation.,Peter Hewitt,Merritt Patterson,Andrew Cooper,Brittany Bristow,Nicholas Banks,1941
A Cheerful Christmas,2019,TV-G,83,min,Drama,Romance,NA,4.9,NA,A woman and her best friend think they landed the job of their dreams by giving people a great Christmas until they get a client who doesn't feel the same way.,Marita Grabiak,Erica Deutschman,Chad Connell,Jennifer Vallance,Tianna Nori,971
Christmas on the Menu,2020,TV-PG,88,min,Comedy,Drama,Romance,6.2,NA,"Celebrated chef Josie heads home for the holidays and creates a special festive menu for her mom's new bed-and-breakfast bistro, where she runs into Tanner, the famous food critic who ...                See full summary »",Jake Helgren,Kim Shaw,Clayton James,Cynthia Gibb,Katrina Norman,542
Spotlight on Christmas,2020,TV-PG,84,min,Drama,Romance,NA,6.1,NA,"Dumped before Christmas, famous Hollywood actress Olivia secretly returns to her hometown to eat cookies and avoid the press. Instead, she has to step up to take the starring role in her own life, realizing that home is where the heart is.",Ali Liebert,Tori Anderson,Victor Zinck Jr.,Lia Frankland,Janet Kidder,684
Inn Love by Christmas,2020,NA,88,min,Comedy,Drama,Romance,6,NA,"On her way home to spend Christmas with her grandmother, Mandy runs into Lucas, her old high school rival.",Jesse D. Ikeman,Jonna Walsh,Jesse Hutch,Jayne Eastwood,Tammy Isbell,629
"Love, Lights, Hanukkah!",2020,TV-G,84,min,Drama,Romance,NA,6.8,NA,"As Christina prepares her restaurant for its busiest time of year, she gets her DNA test revealing that she's Jewish. The discovery leads her to a new family and an unlikely romance over eight nights.",Mark Jean,Mia Kirshner,Ben Savage,Marilu Henner,Advah Soudack,938
Christmas Everlasting,2018,TV-PG,85,min,Drama,Romance,NA,6.3,NA,A hotshot lawyer returns to her childhood home following a death in the family.,Ron Oliver,Tatyana Ali,Dondré T. Whitfield,Dennis Haysbert,Patti LaBelle,1006
Love You Like Christmas,2016,TV-G,90,min,Comedy,Drama,Family,6.4,NA,A high-powered marketing executive reconsiders her priorities when car trouble strands her in a small Ohioan town for the Christmas season.,Graeme Campbell,Bonnie Somerville,Brennan Elliott,Madison Brydges,Precious Chong,1860
No Sleep 'Til Christmas,2018,TV-14,90,min,Comedy,Romance,NA,6.5,NA,A bartender and a businesswoman find they only have one thing in common; insomnia.,Phil Traill,Odette Annable,Dave Annable,Charles Michael Davis,Alphonso McAuley,2336
Christmas Again,2021,NA,94,min,Adventure,Comedy,Family,5.2,NA,"After a disastrous celebration, 12-year-old Rowena makes a wish and unexpectedly finds herself reliving Christmas Day over and over again.",Andy Fickman,Scarlett Estevez,Alexis Carra,Beth Lacke,Ashlyn Jade Lopez,788
Christmas in Vienna,2020,TV-G,83,min,Drama,Romance,NA,6.4,NA,"Jess, a concert violinist whose heart just isn't in it anymore, goes to Vienna for a performance. While there, she finds the inspiration she has been missing, and a new love.",Maclain Nelson,Sarah Drew,Brennan Elliott,Alina Fritsch,Allegra Tinnefeld,1357
Christmas at Pemberley Manor,2018,TV-G,84,min,Romance,NA,NA,6.2,NA,A high-flying New York event planner is sent to a quaint small town to organize their Christmas festival.,Colin Theys,Jessica Lowndes,Michael Rady,Ben Estus,Maddie McCormick,2482
A Christmas Carousel,2020,TV-G,85,min,Drama,Romance,NA,6.1,NA,"When Lila is hired by the Royal Family of Ancadia to repair a carousel, she must work with the Prince to complete it by Christmas.",Don McCutcheon,Rachel Boston,Neal Bledsoe,Stuart Hughes,Jennifer Vallance,983
Christmas Harmony,2018,TV-PG,85,min,Comedy,Drama,Music,6.3,NA,"A successful songwriter returns to her small hometown to rediscover music, family bonds and the magic of the Christmas season.",Nanea Miyata,Kelley Jakle,Adam Mayfield,Peter Porte,Aden Schwartz,707
Four Christmases and a Wedding,2017,TV-14,90,min,Comedy,Drama,Family,5.9,NA,"Chloe plans the first Christmas Fair where she meets Evan and falls in love, but he goes to Norway for his dream job. He bring someone else to the second one; during the third one, Chloe is dating Ted. What will happen this year?",Marita Grabiak,Arielle Kebbel,Corey Sevier,Markie Post,Madison Smith,1271
A Gift for Christmas,2017,TV-G,90,min,Comedy,Drama,Mystery,6.6,NA,A handsome stranger develops amnesia after a bibliophile crashes into him on her bicycle.,Kevin Fair,Peter Porte,Ali Liebert,Tina Lifford,Kristin York,2228
A Glenbrooke Christmas,2020,TV-G,85,min,Drama,Romance,NA,6.6,NA,"As Christmas nears, heiress Jessica Morgan seizes what seems like her last chance to experience a relaxed Christmas and heads off to the small town of Glenbrooke, where she meets a handsome fireman.",David I. Strasser,Autumn Reeser,Antonio Cupo,Lisa MacFadden,Beau Daniels,1284
Christmas in Angel Falls,2017,TV-G,84,min,Comedy,Drama,Romance,6.5,NA,"Guardian angel Gabby is sent to Angel Falls to revive the town's forgotten Christmas spirit, and unexpectedly finds love in the process.",Bradley Walsh,Rachel Boston,Paul Greene,Beau Bridges,Allison Hossack,1479
Christmas Bells Are Ringing,2018,TV-G,90,min,Drama,Romance,NA,6.4,NA,"A freelance photographer, on her way to Cape Cod to celebrate her father's Christmas Eve wedding, enlists the help of an old childhood friend to meet a deadline for a big Christmas spread that could ignite her career.",Pat Williams,Emilie Ullerup,Josh Kelly,Mark Humphrey,Rebecca Staab,1455
Christmas Ever After,2020,TV-G,87,min,Drama,Romance,NA,6.1,NA,Sparks fly during Christmastime when a romance novelist meets a handsome man who looks like the leading character in her books.,Pat Kiely,Ali Stroker,Daniel di Tomasso,Bill Marchant,Melia Charlotte Cressaty,684
Christmas with a Prince: Becoming Royal,2019,TV-G,93,min,Romance,NA,NA,5.8,NA,Its Christmas again and Dr Tasha is on her way to meet Prince Alexander in St. Savarre. Though this is a happy time it is also a very stressful as a treaty is being negotiated between St. ...                See full summary »,Justin G. Dyck,Kaitlyn Leeb,Nick Hounslow,Josh Dean,Anastasia Marinina,549
Christmas at Graceland,2018,TV-G,85,min,Comedy,Drama,Family,5.7,NA,"A Chicago-based business executive travels to Memphis to secure one of the city's oldest family-owned banks. While in Memphis, Laurel reunites with an old flame Clay, a local music promoter with loftier aspirations.",Eric Close,Kellie Pickler,Wes Brown,Claire Elizabeth Green,Rhoda Griffis,1549
Dashing in December,2020,TV-14,88,min,Drama,NA,NA,6.2,NA,"When Wyatt Burwall finally returns home for the holidays in an effort to convince his mother Deb to sell the family's Colorado ranch, a romance unexpectedly ignites between Wyatt and their ...                See full summary »",Jake Helgren,Peter Porte,Juan Pablo Di Pace,Andie MacDowell,Caroline Harris,1281
A Very Vintage Christmas,2019,TV-G,87,min,Comedy,Drama,Romance,6.1,NA,An antique store owner (Tia Mowry-Hardrick) discovers a memory box of sentimental trinkets and attempts to find its rightful owner.,Paul A. Kaufman,Tia Mowry-Hardrict,Jesse Hutch,Patricia Richardson,Agam Darshi,579
Magical Christmas Ornaments,2017,TV-14,90,min,Drama,Fantasy,Romance,6.2,NA,"""After a bad breakup, former Christmas lover Marie (Lowndes) loses her Christmas spirit. Trying to restore it, her mother sends Marie Christmas ornaments from her childhood, and a ...                See full summary »",Don McBrearty,Jessica Lowndes,Brendan Penny,Farah Merani,Stephen Huszar,1689
Pups Alone,2021,PG,107,min,Comedy,Family,NA,3.6,NA,"While everyone is away on a company ski trip, Robert's neighbor hires two inept thieves to steal his latest invention. The neighborhood dogs will use Robert's inventions to set up a house of horrors for the thieves.",Alex Merkin,Jerry O'Connell,Jennifer Love Hewitt,Rob Schneider,Danny Trejo,1326
The Christmas Club,2019,TV-G,84,min,Comedy,Drama,Family,6.7,NA,"Two busy strangers meet when they help an elderly woman find her lost Christmas savings. Thanks to fate and Christmas magic, they also find something they were both missing: true love.",Jeff Beesley,Elizabeth Mitchell,Cameron Mathison,Zoe Fish,Jenny Pudavick,1330
Swept Up by Christmas,2019,TV-G,84,min,Comedy,Drama,Romance,6.2,NA,"An antique seller and a cleaner clash over how to downsize a magnificent estate right before Christmas. As the two uncover the house's treasures, they find a way to reconnect the reclusive owner with his own Christmases past.",Philippe Gagnon,Lindy Booth,Justin Bruening,Vlasta Vrana,Susan Bain,786
The Santa Stakeout,2021,TV-G,84,min,Comedy,Crime,Drama,6.4,NA,"Police detective Tanya is partnered with fellow detective Ryan to solve a recent string of heists. They go undercover as newlyweds, moving into the vacant house next to Mr. Miller, the prime suspect in the case.",Peter Benson,Tamera Mowry-Housley,Paul Campbell,Joe Pantoliano,Peter Bryant,1048
Broadcasting Christmas,2016,TV-G,84,min,Comedy,Drama,Family,6,NA,"Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.",Peter Sullivan,Melissa Joan Hart,Dean Cain,Cynthia Gibb,Jackée Harry,1812
A Christmas Solo,2017,TV-G,90,min,Comedy,Drama,Music,5.9,NA,"Two single parents stumble into the possibility of love for Christmas, not knowing that their daughters are embroiled in a nasty rivalry at school.",Christie Will Wolf,Kelli Williams,Jonathan Scarfe,Pippa Mackie,Kayla Wallace,813
The Christmas Bow,2020,TV-G,83,min,Drama,Music,Romance,6.7,NA,"When an accident puts her music dreams on hold, a gifted violinist reconnects with an old family friend who helps her heal and find love during the holidays.",Clare Niederpruem,Lucia Micarelli,Michael Rady,James Saito,Joy Perry,994
Cranberry Christmas,2020,NA,84,min,Drama,Romance,NA,6.5,NA,A separated couple feign marital bliss on national television to help their town's Christmas festival and their business. But what will the future hold for them when rekindled love is complicated by new opportunities.,Linda-Lisa Hayter,Nikki Deloach,Benjamin Ayres,Marci T. House,Erin Boyes,862
The Mistletoe Inn,2017,NA,90,min,Comedy,Drama,Romance,6.4,NA,An aspiring novelist signs up for a week-long writing workshop at the Mistletoe Inn.,Alex Wright,Alicia Witt,David Alpay,Lucie Guest,Casey Manderson,1760
